specification,k,method,replicate,held_out_cycle,ari
core6_all_equal,2,bootstrap_refit,1,,0.9229680927995215
core6_all_equal,2,bootstrap_refit,2,,0.9568336033772256
core6_all_equal,2,bootstrap_refit,3,,0.9568332407213681
core6_all_equal,2,bootstrap_refit,4,,0.8924604899343166
core6_all_equal,2,bootstrap_refit,5,,0.9062661032901257
core6_all_equal,2,bootstrap_refit,6,,0.9568270746393375
core6_all_equal,2,bootstrap_refit,7,,0.9826185713420427
core6_all_equal,2,bootstrap_refit,8,,0.9090669792438905
core6_all_equal,2,bootstrap_refit,9,,0.9257666307075575
core6_all_equal,2,bootstrap_refit,10,,0.9797357744916083
core6_all_equal,2,bootstrap_refit,11,,0.889718482453508
core6_all_equal,2,bootstrap_refit,12,,0.8979696600023382
core6_all_equal,2,bootstrap_refit,13,,0.9768576831978125
core6_all_equal,2,bootstrap_refit,14,,0.9596777212245343
core6_all_equal,2,bootstrap_refit,15,,0.9454837070255946
core6_all_equal,2,bootstrap_refit,16,,0.9797357744916083
core6_all_equal,2,bootstrap_refit,17,,0.914622285770919
core6_all_equal,2,bootstrap_refit,18,,0.9398257661528847
core6_all_equal,2,bootstrap_refit,19,,0.9653903234148352
core6_all_equal,2,bootstrap_refit,20,,0.9511499749607663
core6_all_equal,2,bootstrap_refit,21,,0.9426569458364489
core6_all_equal,2,bootstrap_refit,22,,0.9313771535313994
core6_all_equal,2,bootstrap_refit,23,,0.9062673860728353
core6_all_equal,2,bootstrap_refit,24,,0.9118288994643722
core6_all_equal,2,bootstrap_refit,25,,0.9855048351878922
core6_all_equal,2,bootstrap_refit,26,,0.9568270746393375
core6_all_equal,2,bootstrap_refit,27,,0.8678843165011504
core6_all_equal,2,bootstrap_refit,28,,0.9398236425368092
core6_all_equal,2,bootstrap_refit,29,,0.939825072743708
core6_all_equal,2,bootstrap_refit,30,,0.9682507838277452
core6_all_equal,2,leave_cycle_out,1,2009-2010,0.9819807788739299
core6_all_equal,2,leave_cycle_out,2,2011-2012,0.9789184624128242
core6_all_equal,2,leave_cycle_out,3,2013-2014,1.0
core6_all_equal,2,leave_cycle_out,4,2015-2016,0.9141901910586796
