specification,k,centroid_id,n,share_percent,z_bmi,z_triglycerides,z_ldl,z_hdl,z_age,z_waist_circumference,z_fasting_insulin,z_crp
core6_all_equal,2,K02-C02,604,43.895348837209305,0.7937482076919143,0.4507592036654749,-0.07238189914413358,-0.5444862063167322,-0.08306907491671021,0.8346271577364494,,
core6_all_equal,2,K02-C01,772,56.104651162790695,-0.6210154371061033,-0.35266652722013864,0.056630397775980265,0.42599698007164044,0.06499186690374753,-0.652998449835266,,
core6_all_equal,3,K03-C02,323,23.473837209302324,-0.1524037500473105,1.0747738308239543,0.7324973968220618,-0.7024652454554055,0.10175460984662468,-0.028141527860835517,,
core6_all_equal,3,K03-C01,645,46.875,-0.6434444023051993,-0.49678451139639834,-0.12547181544621527,0.5878403330733293,0.04400210202798747,-0.6821956709764636,,
core6_all_equal,3,K03-C03,408,29.651162790697676,1.1378628694905375,-0.06550474878789303,-0.3815375936537183,-0.37318808958382677,-0.15011787938360682,1.1007498070560264,,
core6_all_equal,4,K04-C03,121,8.793604651162791,0.11660903939888324,2.302179286250376,-0.1931286568447304,-1.0092676549603727,-0.11858719075120742,0.29692700250930654,,
core6_all_equal,4,K04-C02,482,35.02906976744186,-0.3301292010255627,9.385001855114562e-05,0.6654111175300873,-0.29751492235360677,0.19825542996092577,-0.2878027287271992,,
core6_all_equal,4,K04-C04,378,27.47093023255814,1.1903593650383382,-0.12433011081047467,-0.3565789363012407,-0.33547815531852737,-0.16342701641332205,1.1351712581018372,,
core6_all_equal,4,K04-C01,395,28.706395348837212,-0.772008250271977,-0.5863598669845009,-0.41157659050486267,0.9932514469241692,-0.04920165811654241,-0.826080981315495,,
core6_all_equal,5,K05-C05,288,20.930232558139537,1.3970809512956048,-0.07724911154500855,-0.3127913735094487,-0.320189835108835,0.1046573677814911,1.3322505316320075,,
core6_all_equal,5,K05-C03,288,20.930232558139537,-0.12729606203071278,-0.3180621013637085,-0.2841242389256146,-0.21723380437733278,-1.1170006346800803,-0.14030062721905112,,
core6_all_equal,5,K05-C01,291,21.148255813953487,-0.8741293426446843,-0.5971243689798895,-0.341692188883465,1.2513615170492485,0.2568797985808445,-0.9395829141879828,,
core6_all_equal,5,K05-C04,109,7.921511627906977,0.14077457770708549,2.4477441373230895,-0.17656809278487173,-1.0044455234949037,-0.057627958941492065,0.33407098408488883,,
core6_all_equal,5,K05-C02,400,29.069767441860467,-0.31667709592188364,0.05202177430660385,0.7264751136498441,-0.24970907807092652,0.5577107175109771,-0.26569170426872846,,
core6_all_equal,6,K06-C05,100,7.267441860465117,0.1372650673715047,2.519813334201878,-0.2578838106181796,-1.0232156358132192,-0.17153033896186268,0.35407579096302916,,
core6_all_equal,6,K06-C01,242,17.587209302325583,-0.9379058814954977,-0.5909571499326527,-0.1921085693561757,1.4167508146401184,0.27280172323482255,-1.0053583295385675,,
core6_all_equal,6,K06-C03,272,19.767441860465116,-0.32443453252875587,0.21544830589420383,1.2342870998521274,-0.2729264663792714,0.3646047066321581,-0.2729592947832737,,
core6_all_equal,6,K06-C02,239,17.36918604651163,-0.2841889160324085,-0.3724228309747005,-0.20544273947039748,-0.11032867886275524,-1.2898449638957492,-0.3138131153645301,,
core6_all_equal,6,K06-C06,241,17.51453488372093,1.5439406139038103,-0.07060103006065195,-0.16697946969599378,-0.36246484201328044,-0.18634241384291922,1.4868136431262862,,
core6_all_equal,6,K06-C04,282,20.49418604651163,-0.003998893896051689,-0.21773264495476835,-0.6158005259834018,-0.18705306846303557,0.724232022483382,0.001060512561430582,,
core6_all_equal,7,K07-C07,172,12.5,1.6325902391052443,-0.09578909526682478,-0.3084169942462893,-0.25643234631032313,0.5177619994660503,1.554973310977973,,
core6_all_equal,7,K07-C03,285,20.712209302325583,-0.26580396992392746,-0.2607686988939649,-0.6103130217643247,-0.11410968216708495,0.7181339250547635,-0.2813399173913635,,
core6_all_equal,7,K07-C04,256,18.6046511627907,-0.2798041059837434,0.2245610845043644,1.270615423910926,-0.2594667884120918,0.4354350103165014,-0.21237708326836213,,
core6_all_equal,7,K07-C01,181,13.154069767441861,-0.9051373526448661,-0.6321658790677498,-0.15434153650030125,1.768165695272053,0.23191681558995816,-0.957823390509668,,
core6_all_equal,7,K07-C06,85,6.1773255813953485,0.06725384115765692,2.734484842125365,-0.2778585904365468,-0.9914285484090769,-0.01870696524949508,0.3128378853157245,,
core6_all_equal,7,K07-C02,206,14.970930232558139,-0.6428378183559715,-0.4184678240106943,-0.07163810766847621,0.04061933999602505,-1.1305112274307894,-0.6931528623047252,,
core6_all_equal,7,K07-C05,191,13.880813953488373,0.8225986196110492,0.007865707928618824,-0.1674312347363124,-0.529230510220738,-1.1135923241603412,0.8202057767026425,,
core6_all_equal,8,K08-C01,168,12.209302325581394,-0.8957901261258132,-0.648094885370557,-0.1641222802025884,1.8540734424617489,0.19584390182582986,-0.9492421862175054,,
core6_all_equal,8,K08-C06,165,11.991279069767442,0.7480212121336752,0.1167847895661632,-0.023340761527523027,-0.6231518039819727,-1.257404839706617,0.7864019594963487,,
core6_all_equal,8,K08-C02,177,12.863372093023257,-0.562205326534296,-0.49040121552894755,-0.18637930208681072,0.11112150331917311,-1.253503058367242,-0.6197335748646106,,
core6_all_equal,8,K08-C03,273,19.84011627906977,-0.5911021985314202,-0.26357224353239167,-0.39037807408625486,-0.050007502360858755,0.6635913913787068,-0.6001961736134009,,
core6_all_equal,8,K08-C08,72,5.232558139534884,2.4978075182257267,-0.1836607597627671,-0.37593526131370764,-0.27312422106014816,0.04463126523839667,2.181216807727022,,
core6_all_equal,8,K08-C04,216,15.69767441860465,-0.3004248339801811,0.2393322464435983,1.407331941170374,-0.24286775488599252,0.3174259472182815,-0.24610394239635955,,
core6_all_equal,8,K08-C07,79,5.741279069767442,0.031572571928966564,2.82937862477194,-0.24526646181530146,-1.007045661105968,0.00011199503349850388,0.28511122181063536,,
core6_all_equal,8,K08-C05,226,16.424418604651162,0.7485232230364758,-0.061189365782425106,-0.3830157209158677,-0.2777522904088627,0.6350524344356226,0.7764300476640634,,
core6_all_equal,9,K09-C02,197,14.31686046511628,-0.7512734289112833,-0.33763814239659967,0.7657087054512899,0.2932416715630719,0.5597562484694484,-0.795197275543,,
core6_all_equal,9,K09-C08,66,4.796511627906977,0.06288679035086843,3.0833612314333076,-0.3562293119591906,-1.0076839831771525,0.0028205100739363397,0.34231881971837164,,
core6_all_equal,9,K09-C04,238,17.296511627906977,-0.39296922757122266,-0.22194444693028179,-0.7106339130753747,-0.12539521638563073,0.5600274318412549,-0.38306717705850674,,
core6_all_equal,9,K09-C09,57,4.142441860465116,2.6608625861317345,-0.1517820612873274,-0.4945336883557629,-0.3372643905813847,-0.037954684591094544,2.3335028001474454,,
core6_all_equal,9,K09-C05,156,11.337209302325581,-0.038785687064675875,0.6710981578261195,1.3677708558770685,-0.5891362011013309,0.18614459041041573,0.07899325551915523,,
core6_all_equal,9,K09-C03,165,11.991279069767442,-0.6172220464100121,-0.43591676464828727,-0.0464476321941906,0.015718063598383566,-1.3326641990026455,-0.6706612373423256,,
core6_all_equal,9,K09-C01,139,10.101744186046512,-0.862563216659189,-0.6509974615691984,-0.36938770668565446,2.0187607664396627,0.0899808062822017,-0.8962598268954403,,
core6_all_equal,9,K09-C06,196,14.244186046511627,0.8964197624865313,-0.07918642469507825,-0.29232741850668104,-0.24031651873650775,0.7117806036911958,0.9136390611797179,,
core6_all_equal,9,K09-C07,162,11.773255813953488,0.8426461456960684,-0.014885119984395314,-0.16975200172292793,-0.5325454032570766,-1.2524586000433706,0.8318978995158481,,
core6_all_equal,10,K10-C01,137,9.956395348837209,-0.9450137322938555,-0.642746500880097,-0.2226425263229936,1.9857921337077542,0.0560847911271581,-0.9954410936228871,,
core6_all_equal,10,K10-C08,133,9.665697674418606,0.9763956830365526,-0.01601487180707522,-0.0833733789408428,-0.583714303027516,-1.3932999646745892,0.9116886065930636,,
core6_all_equal,10,K10-C07,146,10.61046511627907,0.5109373818266886,0.1832534758572356,-1.0521680864186636,-0.6654681534356737,0.47897796594768016,0.6000622435198484,,
core6_all_equal,10,K10-C06,146,10.61046511627907,0.2752555483972201,0.8020349277026552,0.8669239031793212,-0.7085732559303614,0.4022631476483443,0.4549742053399943,,
core6_all_equal,10,K10-C04,167,12.136627906976743,-0.5779434551576186,-0.4295609176206999,-0.1718486680781685,-0.002456678848164308,-1.3257276489207646,-0.6218208682700879,,
core6_all_equal,10,K10-C09,48,3.488372093023256,-0.015494986665042,3.520125171916862,-0.3052674411768145,-1.0606327989819249,-0.1548921178625937,0.21169469836489008,,
core6_all_equal,10,K10-C02,197,14.31686046511628,-0.7660153720804438,-0.2964096767704407,-0.5123165059989293,0.03767436337121811,0.7204323962647912,-0.7963617191648712,,
core6_all_equal,10,K10-C05,166,12.063953488372094,0.36651676594656263,-0.4509757746653341,0.10205762387943336,0.4866695148540434,0.4757028178641832,0.37003891745867823,,
core6_all_equal,10,K10-C03,162,11.773255813953488,-0.6633558605583476,-0.018197398374336583,1.405554134374477,-0.061889262770208626,0.2580574076138437,-0.6730901536567222,,
core6_all_equal,10,K10-C10,74,5.377906976744186,2.4271526838125057,-0.19854770139618258,-0.428744360094523,-0.2793481487866636,0.20403061481610027,2.152238734665258,,
core6_all_equal,11,K11-C02,150,10.901162790697674,-0.8378063358777127,-0.084473077794889,0.9190039704734727,-0.007203501685067794,0.6019440370187897,-0.8992078313088001,,
core6_all_equal,11,K11-C11,73,5.305232558139535,2.498960962435994,-0.17842628743794084,-0.3177842795328561,-0.2816669523772042,0.0353661905645638,2.1369865715857808,,
core6_all_equal,11,K11-C01,134,9.738372093023257,-0.9587235983480537,-0.6384630989059126,-0.26389363152753226,1.9943294740924438,0.06966632671527266,-1.0077660928260128,,
core6_all_equal,11,K11-C07,136,9.883720930232558,0.2903435213552921,0.8292886599001492,0.5624778149674213,-0.7770525866045436,0.6501638456565565,0.4686030391277471,,
core6_all_equal,11,K11-C10,47,3.4156976744186043,-0.045862696274436864,3.534493460778837,-0.4174273266094302,-1.0036068707139683,-0.020413501556877576,0.16906570884004168,,
core6_all_equal,11,K11-C09,133,9.665697674418606,0.8301771162312037,0.10667074245986143,-0.18339649383780127,-0.6829009139442974,-1.3804849034941509,0.8541128138218497,,
core6_all_equal,11,K11-C06,77,5.59593023255814,-0.24895985708057727,0.415435373392162,1.8307896879072867,-0.48336954986483394,-0.6696650813947764,-0.16497479828000963,,
core6_all_equal,11,K11-C03,172,12.5,-0.6652169420239159,-0.3938626381992683,-0.7538196131345448,0.007080364904126698,0.6876360662765111,-0.6765251310318674,,
core6_all_equal,11,K11-C08,126,9.156976744186046,0.7605457732884705,-0.0037330657948851697,-1.0093605663374279,-0.5610409110824719,0.5277387303739661,0.8130610945420635,,
core6_all_equal,11,K11-C05,169,12.281976744186046,0.31703416855381744,-0.4212628362199162,0.2591678072784136,0.5326506290933305,0.41570353644737895,0.34324862843945314,,
core6_all_equal,11,K11-C04,159,11.555232558139535,-0.577668460580645,-0.4680621862527857,-0.24975171022759063,0.09277604125770862,-1.3177682473846748,-0.6461674753424748,,
core6_all_equal,12,K12-C07,135,9.811046511627906,0.4325947871206745,0.3859909000636804,0.7133269625321911,-0.5955236772936527,0.7895185621487603,0.5367134275082589,,
core6_all_equal,12,K12-C06,71,5.159883720930233,-0.2609578097139633,0.44167280203194814,1.8752671444002025,-0.46633472219260935,-0.7277418978949666,-0.1778775024146187,,
core6_all_equal,12,K12-C05,127,9.229651162790697,0.41303183021505924,-0.4756415377771546,0.06595571594826355,0.8061951346283389,0.07189830705014272,0.3925239989919012,,
core6_all_equal,12,K12-C11,20,1.4534883720930232,-0.16876675049668932,4.8899517756515225,0.013937769026435228,-0.8574102011788454,-0.19344409358041215,0.18405154732695156,,
core6_all_equal,12,K12-C12,65,4.723837209302325,2.556107266917839,-0.1850366292478197,-0.39718102934159394,-0.2683400789727815,0.13994465189837427,2.232670823961052,,
core6_all_equal,12,K12-C04,149,10.828488372093023,-0.6398964218584613,-0.4478083933894025,-0.24287332591746927,0.003233963827359118,-1.3376656434617185,-0.7046520151201764,,
core6_all_equal,12,K12-C08,87,6.3226744186046515,0.03040233020966491,1.7471068086735715,-0.4394765283463599,-0.9920340868801755,0.00918117262431059,0.24003519474607177,,
core6_all_equal,12,K12-C01,129,9.375,-0.9890543294131632,-0.6720362506568371,-0.26993131623279154,1.998495295537225,0.07420193612762492,-1.055335215900958,,
core6_all_equal,12,K12-C09,118,8.575581395348838,0.7590481323210557,-0.06622160727996064,-1.037686175688031,-0.5269993341278527,0.4990470599021859,0.8115149664066104,,
core6_all_equal,12,K12-C10,121,8.793604651162791,0.9900999474587078,-0.005637616981373649,-0.07343839152098476,-0.6536916640541786,-1.400411037584632,0.9525348463755714,,
core6_all_equal,12,K12-C02,165,11.991279069767442,-0.7759283436654076,-0.129114925714858,0.937339854175152,0.030387865379792413,0.5886629736136083,-0.807054543083988,,
core6_all_equal,12,K12-C03,189,13.73546511627907,-0.614566113636303,-0.410659370979912,-0.6686021698667814,0.05289320414444586,0.704233990970161,-0.6142081698175154,,
core6_all_equal,13,K13-C13,59,4.287790697674419,2.64918951745217,-0.21700810490895567,-0.4251822314068215,-0.26289628192971315,0.016201619154486445,2.2926602458138916,,
